id,sentiment,text,scores,compound,pos,neu,neg,Predicted_Sentiment
1850,Negative,This is that rare instance when I have to agree with @IAMMGraham. @realDonaldTrump's performance in the #GOPDebate will hurt him. @ghook,"{'neg': 0.142, 'neu': 0.753, 'pos': 0.105, 'compound': -0.2263}",-0.2263,0.105,0.753,0.142,Negative
1851,Negative,RT @LgnCtn: .@instagram and @facebook need to free the @Dreamdefenders acct. #KKKorGOP is a legitimate convo highlighting real concerns. #G…,"{'neg': 0.0, 'neu': 0.845, 'pos': 0.155, 'compound': 0.5106}",0.5106,0.155,0.845,0.0,Positive
1852,Negative,"Yeah, how dare that birch stand up for women's issues?  So much respect for @megynkelly now. #GOPDebate  https://t.co/k7E0ttVsKO","{'neg': 0.0, 'neu': 0.741, 'pos': 0.259, 'compound': 0.6786}",0.6786,0.259,0.741,0.0,Positive
1853,Negative,"RT @runolgarun: I made a #GOPdebate bingo card if anyone wants to play me, I've already got four squares so u better watch out http://t.co/…","{'neg': 0.0, 'neu': 0.765, 'pos': 0.235, 'compound': 0.7304}",0.7304,0.235,0.765,0.0,Positive
1854,Positive,"RT @bensherwood: Across the TV news aisle, a salute to Chris Wallace, @BretBaier and @megynkelly @FoxNews for smart, sharp, unflinching que…","{'neg': 0.0, 'neu': 0.876, 'pos': 0.124, 'compound': 0.4019}",0.4019,0.124,0.876,0.0,Positive
1855,Negative,RT @Elb3001: #GOPDebate screw you @GovMikeHuckabee look up @TheLadyValor and see how transgender ppl serve this country in our military!,"{'neg': 0.082, 'neu': 0.918, 'pos': 0.0, 'compound': -0.1759}",-0.1759,0.0,0.918,0.082,Negative
1856,Positive,RT @rmuench22: This. Is. EVERYTHING. #GOPDebate #HillaryForPresident http://t.co/WrDBMfApbm,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,Neutral
1857,Negative,"I didn't watch the #GOPDebate last night. Is this accurate?

http://t.co/pY3rhCMCBH","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,Neutral
1858,Positive,RT @sydneyvl24: Cautiously optimistic is how I feel the morning after. #GOPDebate,"{'neg': 0.0, 'neu': 0.813, 'pos': 0.187, 'compound': 0.3182}",0.3182,0.187,0.813,0.0,Positive
1859,Negative,"RT @sallykohn: Well that was a giant, depressing hot mess.

#GOPDebate","{'neg': 0.359, 'neu': 0.493, 'pos': 0.148, 'compound': -0.4588}",-0.4588,0.148,0.493,0.359,Negative
1860,Positive,"RT @peddoc63: Go Carly📢
Go Carly📢
Go Carly📢
@CarlyFiorina #Carly2016 #GOPDebate
@steph93065 @MaydnUSA @LessGovMoreFun http://t.co/oheKLwZARc","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,Neutral
1861,Negative,"RT @IanSams: On #VRA50, the Voting Rights Act wasn't mentioned in the #GOPDebate.

Sadly not shocking. That's why HRC took 'em on. http://t…","{'neg': 0.107, 'neu': 0.806, 'pos': 0.087, 'compound': -0.1386}",-0.1386,0.087,0.806,0.107,Negative
1862,Negative,Why should he?  It's already been said.  Would apology be believable?  #GOPDebate  https://t.co/1mUbzwAMWu,"{'neg': 0.0, 'neu': 0.885, 'pos': 0.115, 'compound': 0.1431}",0.1431,0.115,0.885,0.0,Positive
1863,Negative,Yes Marco Rubio Actually Said The Iraq Invasion 'Was Not A Mistake' http://t.co/xRowKHyMm1 #GOPDebate http://t.co/vjMjdMByHV,"{'neg': 0.0, 'neu': 0.717, 'pos': 0.283, 'compound': 0.577}",0.577,0.283,0.717,0.0,Positive
1864,Negative,RT @DNchef: @jjauthor @yewkalaylee @learjetter @megynkelly @realDonaldTrump ...whether you support him or not. it was shameful. #GOPDebate,"{'neg': 0.0, 'neu': 0.738, 'pos': 0.262, 'compound': 0.6517}",0.6517,0.262,0.738,0.0,Positive
1865,Neutral,RT @richardroeper: Hillary Clinton right now. #GOPDebate http://t.co/RFqoPQbzGk,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,Neutral
1866,Negative,RT @Saille: My takeaway is that Mike Huckabee's going to privatize the military and hire the Vogons. #GOPDebate,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,Neutral
1867,Negative,"RT @MikeDrucker: ""If you elect me, I'll be the best comic book villain president you've ever seen!"" - Donald Trump #GOPDebate","{'neg': 0.138, 'neu': 0.69, 'pos': 0.172, 'compound': 0.2244}",0.2244,0.172,0.69,0.138,Positive
1868,Negative,"#GOPDebate
Cands/Mods: Trump, you can't run independent! We'll lose!
Me: Your last pick said http://t.co/c2r0qZdexv was a real live person.","{'neg': 0.154, 'neu': 0.846, 'pos': 0.0, 'compound': -0.508}",-0.508,0.0,0.846,0.154,Negative
1869,Neutral,"RT @polly: First #GOPDebate of 2016 race: 16% of U.S. homes with TVs watched
First GOP debate of 2012 race: 5% 
http://t.co/spqlTqG2Fw","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,Neutral
1870,Negative,"RT @iRreverin: Thought I was watching a political function, but I feel like I've just been to church. And not in a good way. #GOPDebate #in…","{'neg': 0.118, 'neu': 0.759, 'pos': 0.123, 'compound': 0.0364}",0.0364,0.123,0.759,0.118,Neutral
1871,Negative,RT @afroCHuBBZ: For more information visit http://t.co/8aUPR2VS6Z #KKKorGOP #GOPDebate  #GOP http://t.co/OpEDgSKHGp,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,Neutral
1872,Negative,"RT @MattyIceAZ: Rand Paul claims ""We didn't create ISIS.""
Jeb Bush interrupts, ""We didn't, but my brother did.""
#GOPDebate","{'neg': 0.152, 'neu': 0.848, 'pos': 0.0, 'compound': -0.2633}",-0.2633,0.0,0.848,0.152,Negative
1873,Positive,"RT @DeenaZaruCNN: .@RealBenCarson: Thank you Megyn, I wasn't sure I was going to to get to talk again #GOPDebate http://t.co/GNnn9idoNs","{'neg': 0.096, 'neu': 0.782, 'pos': 0.122, 'compound': 0.1376}",0.1376,0.122,0.782,0.096,Positive
1874,Negative,Who's the real illegal alien #GOPDebate - Farrakhan on #Election2016  Immigration &amp; the Mexican Bor... https://t.co/lkLfFN2LFy via @YouTube,"{'neg': 0.184, 'neu': 0.816, 'pos': 0.0, 'compound': -0.5574}",-0.5574,0.0,0.816,0.184,Negative
1875,Negative,"My only #GOPdebate comment: They're unanimous re: defunding women's health care, &amp;  killing Iran nuclear deal - prefer a military solution.","{'neg': 0.17, 'neu': 0.618, 'pos': 0.212, 'compound': 0.0258}",0.0258,0.212,0.618,0.17,Neutral
1876,Negative,RT @MakinH15TORY: Lol @ Trump #GOPDebate,"{'neg': 0.0, 'neu': 0.588, 'pos': 0.412, 'compound': 0.4215}",0.4215,0.412,0.588,0.0,Positive
1877,Neutral,Up next we get #GOPDebate reaction from @dbongino. @WBALRadio and http://t.co/wTDQ8gmvEl,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,Neutral
1878,Neutral,"RT @EricTTung: ""I never heard the word income equality, climate change, voting rights."" via @BarbaraBoxer #GOPDebate","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,Neutral
1879,Negative,RT @shannonrwatts: 18 states have done what congress won't - closed background check loophole. We need the next President to ACT #GOPDebate…,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,Neutral
1880,Positive,RT @megynkelly: Tune in! #KellyFile is LIVE from the #GOPDebate http://t.co/O9S38ELWo5,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,Neutral
1881,Neutral,"RT @AdamSmith_USA: Hey @GOP, @HillaryClinton has a few words for you regarding reproductive healthcare: #GOPDebate http://t.co/4SfORBTCap","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,Neutral
1882,Negative,#GOPDebate Donald Trump hates Mexicans? http://t.co/Ut1zaW9vK4,"{'neg': 0.367, 'neu': 0.633, 'pos': 0.0, 'compound': -0.4404}",-0.4404,0.0,0.633,0.367,Negative
1883,Negative,"RT @nicole473: #GOPDebate Spends Less Than A Minute On Police Violence And Black Lives Matter
http://t.co/V2qIrWDw5K
#BlackLivesMatter","{'neg': 0.214, 'neu': 0.729, 'pos': 0.057, 'compound': -0.6124}",-0.6124,0.057,0.729,0.214,Negative
1884,Negative,A lot of candidates are all about defending #PlannedParenthood but never mention take away a rapist's parental rights #GOPDebate,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,Neutral
1885,Neutral,RT @RickCanton: #CruzCrew - no amnesty. Of course. Most Constitutionally sound candidate. #GOPDebate http://t.co/0Y54WTIstm,"{'neg': 0.155, 'neu': 0.845, 'pos': 0.0, 'compound': -0.296}",-0.296,0.0,0.845,0.155,Negative
1886,Neutral,"Remember how @ChrisChristie called Rand's tireless defense of the #4thAmendment ""blowing hot air?"" #GOPDebate","{'neg': 0.0, 'neu': 0.897, 'pos': 0.103, 'compound': 0.128}",0.128,0.103,0.897,0.0,Positive
1887,Positive,RT @_Ms_Bee: Very interesting.#GOPDebate  https://t.co/6INkmV9KZw,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,Neutral
1888,Positive,RT @tedcruz: Over the past six years we've seen the results of the Obama-Clinton foreign policy. Leading from behind is a disaster. #GOPDeb…,"{'neg': 0.163, 'neu': 0.837, 'pos': 0.0, 'compound': -0.6249}",-0.6249,0.0,0.837,0.163,Negative
1889,Negative,RT @cowboytexas: Proof #GOPDebate Republicans and @FoxNews need an education on separation of church and state. http://t.co/eyJVwGxe3f,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,Neutral
1890,Positive,"RT @BuckSexton: Ted Cruz is positioning himself as all the fight and fury of Trump, without the unpredictability. Smart move. #GOPDebate","{'neg': 0.322, 'neu': 0.678, 'pos': 0.0, 'compound': -0.8205}",-0.8205,0.0,0.678,0.322,Negative
1891,Negative,RT @UnSlutProject: Who won the #GOPDebate? Not women.,"{'neg': 0.0, 'neu': 0.654, 'pos': 0.346, 'compound': 0.5719}",0.5719,0.346,0.654,0.0,Positive
1892,Neutral,Love this. https://t.co/XrMOId5bdK #StandWithRand #GOPDebate,"{'neg': 0.0, 'neu': 0.488, 'pos': 0.512, 'compound': 0.6369}",0.6369,0.512,0.488,0.0,Positive
1893,Negative,"RT @djmorris55: .@realDonaldTrump calls 3rd party talk ""leverage."" Sounds like extortion. Pick me or I'll make you lose. #gopdebate @Kiplin…","{'neg': 0.108, 'neu': 0.683, 'pos': 0.209, 'compound': 0.3612}",0.3612,0.209,0.683,0.108,Positive
1894,Neutral,"BEST. POST. EVER. 10 wtf quotes from last night’s gop debate, gif-edhttp://www.nylon.com/articles/gop-debate-quotes via @nylonmag #GOPDebate","{'neg': 0.175, 'neu': 0.598, 'pos': 0.227, 'compound': 0.2808}",0.2808,0.227,0.598,0.175,Positive
1895,Neutral,RT @Writeintrump: #GOPDebate After Party Update: I'm still waiting for Ben Carson to introduce me to those twins he bragged about.  I hope …,"{'neg': 0.0, 'neu': 0.781, 'pos': 0.219, 'compound': 0.6808}",0.6808,0.219,0.781,0.0,Positive
1896,Negative,"RT @DebbyRevere: @realDonaldTrump @smartvalueblog #trump said he wasn't preparing &amp; true enuff you could tell. #GOPDebate take run serious,…","{'neg': 0.115, 'neu': 0.885, 'pos': 0.0, 'compound': -0.3252}",-0.3252,0.0,0.885,0.115,Negative
1897,Negative,RT @saradmahmoud: #GOPDebate and the islamophobia begins.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,Neutral
1898,Negative,@realDonaldTrump whaah 😭😭 @megynkelly &amp; #foxnews was unfair to me They shouldn't ask questions about what I say 😭😭 #gopdebate,"{'neg': 0.147, 'neu': 0.853, 'pos': 0.0, 'compound': -0.4767}",-0.4767,0.0,0.853,0.147,Negative
1899,Negative,RT @jordanadolph: same. seriously though. #GOPDebate  https://t.co/GEXpvd1vB0,"{'neg': 0.221, 'neu': 0.779, 'pos': 0.0, 'compound': -0.1779}",-0.1779,0.0,0.779,0.221,Negative
1900,Neutral,RT @DaTechGuyblog: Advice to each GOP candidate in order of how I think they finished 10th place Jeb Bush Get a pulse in a hurry #gopdebate…,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,Neutral
1901,Negative,@jjauthor @yewkalaylee @learjetter @megynkelly @realDonaldTrump ...whether you support him or not. it was shameful. #GOPDebate,"{'neg': 0.0, 'neu': 0.709, 'pos': 0.291, 'compound': 0.6517}",0.6517,0.291,0.709,0.0,Positive
1902,Positive,"RT @tedcruz: We've seen a lot of campaign conservatives, but if we're going to win in 2016, we need a consistent conservative. #GOPDebate #…","{'neg': 0.0, 'neu': 0.802, 'pos': 0.198, 'compound': 0.7351}",0.7351,0.198,0.802,0.0,Positive
1903,Neutral,I've picked up 4 followers focused on reduced cost Ray-Bans in the past 24 hours. Who knew Ray-Ban bots were so into #gopdebate jokes.,"{'neg': 0.0, 'neu': 0.812, 'pos': 0.188, 'compound': 0.5945}",0.5945,0.188,0.812,0.0,Positive
1904,Positive,"Ben Carson, Ted Cruz, and you-know-who won the Google search war http://t.co/tYQVy0Bhup

@realBenCarson #GOPDebate","{'neg': 0.199, 'neu': 0.612, 'pos': 0.189, 'compound': -0.0516}",-0.0516,0.189,0.612,0.199,Negative
1905,Neutral,"RT @RickCanton: Are there any Democrats running, @HillaryClinton? 

All I see are Socialists. 

#GOPDebate #OhHillNo #UniteBlue #WhyImNotVo…","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,Neutral
1906,Negative,"RT @pizzapimp812: Rly disappointed in the questioning. All aimed at provoking fights between, rather than learning what each candidate plan…","{'neg': 0.36, 'neu': 0.64, 'pos': 0.0, 'compound': -0.7906}",-0.7906,0.0,0.64,0.36,Negative
1907,Positive,"RT @Polarinski: I have no doubt #CarlyFiorina has the stones to lead this country in a better direction.
 #GOPDebate","{'neg': 0.218, 'neu': 0.648, 'pos': 0.134, 'compound': -0.2023}",-0.2023,0.134,0.648,0.218,Negative
1908,Negative,Watching the #GOPDebate this morning. It's incredibly clear that none of these people care about me at all.,"{'neg': 0.0, 'neu': 0.724, 'pos': 0.276, 'compound': 0.7264}",0.7264,0.276,0.724,0.0,Positive
1909,Neutral,RT @AnjDelgado: Check out how @washingtonpost used @Genius to annotate last night's #GOPDebate http://t.co/f3GU92M8PL @wendygreen_ @traveli…,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,Neutral
1910,Negative,"Based on his rhetoric, I assume when Donald Trump looks at Megyn Kelly, he sees Miss Piggy.

#GOPDebate","{'neg': 0.091, 'neu': 0.909, 'pos': 0.0, 'compound': -0.1531}",-0.1531,0.0,0.909,0.091,Negative
1911,Negative,"Trump invites Hillary Clinton to his (3rd) wedding... but blasts Megyn Kelly during/after the debate.

And he's a ""Republican""??? #GOPDebate","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,Neutral
1912,Negative,RT @ykhong: Instagram shut @dreamdefenders acct for posting real quotes from #GOPdebate w/ #KKKorGOP. Someone tell Instagram they're on the…,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,Neutral
1913,Negative,RT @Daenerys: Donald Trump got The Wall idea from Game of Thrones. #GOPDebate,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,Neutral
1914,Positive,RT @ChadPergram: Rubio: God has blessed the Republicans with some very kind candidates. The Democrats can't even find one. #GOPDebate,"{'neg': 0.0, 'neu': 0.637, 'pos': 0.363, 'compound': 0.8655}",0.8655,0.363,0.637,0.0,Positive
1915,Negative,"RT @jaguarjin: #GOPDebate was more of  reality show- ""So who isn't qualified to be POTUS"" @dthomicide @Leslieks @pharris830 @stphil","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,Neutral
1916,Neutral,RT @totalgolfmove: All I want to know about the #GOPDebate is who is in favor for making The Masters a national holiday,"{'neg': 0.0, 'neu': 0.717, 'pos': 0.283, 'compound': 0.6908}",0.6908,0.283,0.717,0.0,Positive
1917,Negative,"RT @StudyingLiberty: Apparently Trump, the ""tell it like it is"" guy, can't handle some tough questions that point out his utter hypocrisy. …","{'neg': 0.0, 'neu': 0.838, 'pos': 0.162, 'compound': 0.4348}",0.4348,0.162,0.838,0.0,Positive
1918,Negative,Biggest winner &amp; loser of #GOPDebate? @FoxNews: Moderation WIN; App &amp; live streaming FAIL. @juanasummers &amp; @film_girl http://t.co/4HSpigrZTA,"{'neg': 0.255, 'neu': 0.467, 'pos': 0.278, 'compound': 0.1779}",0.1779,0.278,0.467,0.255,Positive
1919,Neutral,RT @Badpie24: So this sums up the entire #GOPDebate I suppose. http://t.co/FbaSoZc54U #clowncardumpsterfire,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,Neutral
1920,Negative,@seanhannity @ChrisChristie @GovChristie Then try not lying about your US Attorney - 9/11 appointment. #GOPDebate,"{'neg': 0.0, 'neu': 0.824, 'pos': 0.176, 'compound': 0.4168}",0.4168,0.176,0.824,0.0,Positive
1921,Negative,RT @2DOPEANTIBHVR: so u want us to build a wall #GOPDebate,"{'neg': 0.0, 'neu': 0.821, 'pos': 0.179, 'compound': 0.188}",0.188,0.179,0.821,0.0,Positive
1922,Neutral,“@HillaryClinton: Missing Jon Stewart already. #GOPdebate #JonVoyage -H”. THIS @johnfmiddleton,"{'neg': 0.196, 'neu': 0.804, 'pos': 0.0, 'compound': -0.296}",-0.296,0.0,0.804,0.196,Negative
1923,Neutral,RT @KLSouth: .@JebBush &amp; Valerie Jarrett having dinner together. Rupert in middle. http://t.co/2OfH3IpYTv #jeb2016 #NoMoreBushes #GOPDebate,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,Neutral
1924,Negative,RT @shannonrwatts: Gun violence costs Americans $229B annually #GOPDebate #gunsense,"{'neg': 0.448, 'neu': 0.552, 'pos': 0.0, 'compound': -0.7579}",-0.7579,0.0,0.552,0.448,Negative
1925,Positive,"While I sometimes don't like @realDonaldTrump 's character, he's still the only candidate calling it like it is. #GOPDebate #ycot","{'neg': 0.199, 'neu': 0.801, 'pos': 0.0, 'compound': -0.4973}",-0.4973,0.0,0.801,0.199,Negative
1926,Positive,"#GOPDebate #GOP Marco Rubio had the best zinger of the night ""how fortunate we are to have so many good candidates while the Dems have none!","{'neg': 0.0, 'neu': 0.685, 'pos': 0.315, 'compound': 0.8903}",0.8903,0.315,0.685,0.0,Positive
1927,Neutral,RT @JahmaolClark: If a Candidate speaks out against Mass Incarceration and #TheNewJimCrow it would be hard not to vote for them...#GOPDebate,"{'neg': 0.069, 'neu': 0.931, 'pos': 0.0, 'compound': -0.1027}",-0.1027,0.0,0.931,0.069,Negative
1928,Neutral,Bernie Sanders live-tweeted the #GOPDebate http://t.co/noSDLXybM9 via @HuffPostPol,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,Neutral
1929,Neutral,.@InklessPW could take some cues from the #GOPDebate. Why weren't our leaders asked if god has spoken to them? #macdebate,"{'neg': 0.0, 'neu': 0.9, 'pos': 0.1, 'compound': 0.2732}",0.2732,0.1,0.9,0.0,Positive
1930,Neutral,Multiple shots of Scott Walker nodding behind Ben Carson was one of the best parts of #GOPDebate. The real strength of #GOP.,"{'neg': 0.0, 'neu': 0.73, 'pos': 0.27, 'compound': 0.8126}",0.8126,0.27,0.73,0.0,Positive
1931,Neutral,Watch the #GOPDebate last nite? Well than you are ready for #trump this: the United States of #mexchat this Monday Aug10. 1pm ET,"{'neg': 0.0, 'neu': 0.73, 'pos': 0.27, 'compound': 0.7506}",0.7506,0.27,0.73,0.0,Positive
1932,Negative,"RT @mir_ross: You know what makes pushing 6lb+ being through my vaginal canal seem less appealing?
Men telling me it's my duty as a woman #…","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,Neutral
1933,Neutral,"RT @shawnsBrain66: ""Ultimately, liberals were unhappy, which means the GOP did something right"" #gopDebate http://t.co/08nrvGEsrA","{'neg': 0.167, 'neu': 0.833, 'pos': 0.0, 'compound': -0.4215}",-0.4215,0.0,0.833,0.167,Negative
1934,Negative,RT @LeahR77: Guess The Bush FIX WAS IN #GOPDebate ‼️ He Gets The Most Questions‼️ http://t.co/zuSRBs8QTa,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,Neutral
1935,Negative,"RT @dawnintheworld: @Chris @hardball_chris PLZ google education in Ohio and get, well, educated on education. @RepTimRyan  #GopDebate @Ohio…","{'neg': 0.0, 'neu': 0.795, 'pos': 0.205, 'compound': 0.4824}",0.4824,0.205,0.795,0.0,Positive
1936,Negative,RT @shannonrwatts: Long-term prison costs for people who commit assault and homicide using guns costs $5.2 billion a year #GOPDebate #gunse…,"{'neg': 0.27, 'neu': 0.646, 'pos': 0.084, 'compound': -0.7096}",-0.7096,0.084,0.646,0.27,Negative
1937,Neutral,RT @2DOPEANTIBHVR: Politics of the stomach #GOPDebate,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,Neutral
1938,Negative,Republicans admit science is real. Why is this even news?!! #GOPDebate,"{'neg': 0.0, 'neu': 0.807, 'pos': 0.193, 'compound': 0.3365}",0.3365,0.193,0.807,0.0,Positive
1939,Negative,The night #JohnStewart signed off from #TDS he killed 2 birds with one stone: #GOPDebate on #FoxDebate . No need to further comment on them,"{'neg': 0.242, 'neu': 0.758, 'pos': 0.0, 'compound': -0.7717}",-0.7717,0.0,0.758,0.242,Negative
1940,Negative,@Marmel Wondered same thing. And Trump did mention her firing in one of his recent diatribes. Surprised he didn't diss her @ #GOPDebate.,"{'neg': 0.099, 'neu': 0.823, 'pos': 0.078, 'compound': -0.128}",-0.128,0.078,0.823,0.099,Negative
1941,Negative,"RT @mrmilianspeaks: Sam Dubose, Tamir rice, and John Crawford all died in Kasichs state and he dodged the police brutality question. #GOPDe…","{'neg': 0.275, 'neu': 0.725, 'pos': 0.0, 'compound': -0.8225}",-0.8225,0.0,0.725,0.275,Negative
1942,Neutral,RT @sistertoldjah: .@CarlyFiorina at @ijreview: Why I’m Running For President ---&gt;&gt;&gt;  http://t.co/phNgdByKSP #Carly2016 #GOPdebate http://t…,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,Neutral
1943,Negative,@GovernorPerry Who the heck is Ronald Raven? #GOPDebate,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,Neutral
1944,Negative,"RT @FrankLuntz: My focus group actually likes Donald Trump as a person and a businessman… But not as a candidate.  #GOPDebate

http://t.co/…","{'neg': 0.0, 'neu': 0.905, 'pos': 0.095, 'compound': 0.2263}",0.2263,0.095,0.905,0.0,Positive
1945,Neutral,"RT @HeatherNauert: ""Instead of fighting among ourselves...we should be focused on #HillaryClinton "" @ScottWalker tells @foxandfriends post …","{'neg': 0.131, 'neu': 0.733, 'pos': 0.136, 'compound': 0.0258}",0.0258,0.136,0.733,0.131,Neutral
1946,Negative,RT @Politics_PR: The #GOPDebate Showed How #FoxNews Enforces Republican Orthodoxy: http://t.co/3rnrI9CBvD #p2 http://t.co/6981eqojZn,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,Neutral
1947,Neutral,"Tune into @937TheTicket for #4Downs at 11:45. Talking #GOPDebate and #TheDailyShow, Gronk Bus LLC, our dream jobs, and Yordano Ventura.","{'neg': 0.0, 'neu': 0.905, 'pos': 0.095, 'compound': 0.25}",0.25,0.095,0.905,0.0,Positive
1948,Negative,RT @TonyLoyd: Who won the #gopdebate? Billionaires &amp; bankers. Who lost? The rest of us. #debatewithbernie http://t.co/RFpNbtsoW6 http://t.c…,"{'neg': 0.103, 'neu': 0.716, 'pos': 0.182, 'compound': 0.4137}",0.4137,0.182,0.716,0.103,Positive
1949,Neutral,Very interesting.#GOPDebate  https://t.co/6INkmV9KZw,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,Neutral
1950,Negative,.@gatewaypundit @megynkelly @realDonaldTrump Megyn= the new Candy Crowley. They blundered badly. FOX exposed themselves. #GOPDebate,"{'neg': 0.253, 'neu': 0.747, 'pos': 0.0, 'compound': -0.5267}",-0.5267,0.0,0.747,0.253,Negative
1951,Negative,Trumped: Rand Paul Gets Less Than Half the Time of ‘The Donald’ During GOP Debate - http://t.co/9WCiDg100e #GOPDebate #Trump,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,Neutral
1952,Positive,"genuinely impressed by @megynkelly. Thanks for your thoughtful questions on women, foreign policy, and race #GOPDebate","{'neg': 0.0, 'neu': 0.602, 'pos': 0.398, 'compound': 0.8225}",0.8225,0.398,0.602,0.0,Positive
1953,Negative,That's All! 😉 #FactCheck #GOPDebate http://t.co/jR7P3o5XhX,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,Neutral
1954,Neutral,".@FrankLuntz #GOPDebate analysis, ""Who won? @GovMikeHuckabee"" --&gt; http://t.co/fWGhqVZ9dG #ImWithHuck","{'neg': 0.0, 'neu': 0.684, 'pos': 0.316, 'compound': 0.5719}",0.5719,0.316,0.684,0.0,Positive
1955,Negative,"RT @feministabulous: Trump can say ""I hate the concept of abortion"" because he'll NEVER NEED ONE. #GOPDebate","{'neg': 0.188, 'neu': 0.812, 'pos': 0.0, 'compound': -0.5719}",-0.5719,0.0,0.812,0.188,Negative
1956,Negative,"RT @benshapiro: If you want to finish Trump, you DO NOT FEED THE TROLL. Fox News fed the troll a five-course banquet. #GOPDebate","{'neg': 0.0, 'neu': 0.942, 'pos': 0.058, 'compound': 0.0772}",0.0772,0.058,0.942,0.0,Positive
1957,Positive,@marcorubio #GOPDebate winner in my book! #dale #cuban,"{'neg': 0.0, 'neu': 0.631, 'pos': 0.369, 'compound': 0.6239}",0.6239,0.369,0.631,0.0,Positive
1958,Negative,They stopped at 10 because they couldn't fit any more in the clown car. #GOPDebate,"{'neg': 0.236, 'neu': 0.764, 'pos': 0.0, 'compound': -0.4606}",-0.4606,0.0,0.764,0.236,Negative
1959,Neutral,RT @rolandsmartin: Ben Carson wants a proportional tax system that is based on the biblical model of tithing. #GOPDebate #NewsOneNow #Rolan…,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,Neutral
